Date,Day_Name,Weekend,Salary_Day,Festival,Holiday,Nearby_Event,Rainfall_mm
2025-01-01 00:00:00,Wednesday,No,Yes,None,No,None,4.5
2025-01-02 00:00:00,Thursday,No,Yes,None,No,None,14.2
2025-01-03 00:00:00,Friday,No,No,None,No,None,0.7
2025-01-04 00:00:00,Saturday,Yes,No,None,No,None,6.1
2025-01-05 00:00:00,Sunday,Yes,Yes,None,No,None,9.3
2025-01-06 00:00:00,Monday,No,No,None,No,None,8
2025-01-07 00:00:00,Tuesday,No,Yes,None,No,None,3.9
2025-01-08 00:00:00,Wednesday,No,No,None,No,None,8.6
2025-01-09 00:00:00,Thursday,No,No,None,No,None,4.3
2025-01-10 00:00:00,Friday,No,Yes,None,No,None,3.5
2025-01-11 00:00:00,Saturday,Yes,No,None,No,None,11.2
2025-01-12 00:00:00,Sunday,Yes,No,None,No,None,4.7
2025-01-13 00:00:00,Monday,No,No,None,No,None,8.3
2025-01-14 00:00:00,Tuesday,No,No,Pongal,Yes,None,7.8
2025-01-15 00:00:00,Wednesday,No,No,Pongal,Yes,None,1
2025-01-16 00:00:00,Thursday,No,No,Pongal,Yes,None,5.2
2025-01-17 00:00:00,Friday,No,No,None,No,None,7.3
2025-01-18 00:00:00,Saturday,Yes,No,None,No,Major Event,1
2025-01-19 00:00:00,Sunday,Yes,No,None,No,None,2.8
2025-01-20 00:00:00,Monday,No,No,None,No,None,5.9
2025-01-21 00:00:00,Tuesday,No,No,None,No,None,1.9
2025-01-22 00:00:00,Wednesday,No,No,None,No,None,16.2
2025-01-23 00:00:00,Thursday,No,No,None,No,None,3.7
2025-01-24 00:00:00,Friday,No,No,None,No,None,8.4
2025-01-25 00:00:00,Saturday,Yes,Yes,None,No,None,6.3
2025-01-26 00:00:00,Sunday,Yes,Yes,None,No,None,8.7
2025-01-27 00:00:00,Monday,No,Yes,None,No,None,7.5
2025-01-28 00:00:00,Tuesday,No,Yes,None,No,None,2.5
2025-01-29 00:00:00,Wednesday,No,No,None,No,None,2.5
2025-01-30 00:00:00,Thursday,No,Yes,None,No,Major Event,5
2025-01-31 00:00:00,Friday,No,No,None,No,Major Event,7.1
2025-02-01 00:00:00,Saturday,Yes,Yes,None,No,None,3.7
2025-02-02 00:00:00,Sunday,Yes,Yes,None,No,None,2.9
2025-02-03 00:00:00,Monday,No,No,None,No,None,5.7
2025-02-04 00:00:00,Tuesday,No,No,None,No,None,4.2
2025-02-05 00:00:00,Wednesday,No,Yes,None,No,None,1.4
2025-02-06 00:00:00,Thursday,No,No,None,No,None,5.6
2025-02-07 00:00:00,Friday,No,Yes,None,No,None,8.3
2025-02-08 00:00:00,Saturday,Yes,No,None,No,None,2
2025-02-09 00:00:00,Sunday,Yes,No,None,No,Major Event,19.6
2025-02-10 00:00:00,Monday,No,Yes,None,No,Major Event,2.5
2025-02-11 00:00:00,Tuesday,No,No,None,No,None,16.1
2025-02-12 00:00:00,Wednesday,No,No,None,No,None,14.1
2025-02-13 00:00:00,Thursday,No,No,None,No,None,7.9
2025-02-14 00:00:00,Friday,No,No,None,No,None,5.5
2025-02-15 00:00:00,Saturday,Yes,No,None,No,None,2.4
2025-02-16 00:00:00,Sunday,Yes,No,None,No,None,7.4
2025-02-17 00:00:00,Monday,No,No,None,No,None,2.5
2025-02-18 00:00:00,Tuesday,No,No,None,No,None,7
2025-02-19 00:00:00,Wednesday,No,No,None,No,None,6.1
2025-02-20 00:00:00,Thursday,No,No,None,No,Major Event,17
2025-02-21 00:00:00,Friday,No,No,None,No,None,5
2025-02-22 00:00:00,Saturday,Yes,No,None,No,None,2.4
2025-02-23 00:00:00,Sunday,Yes,No,None,No,None,5.2
2025-02-24 00:00:00,Monday,No,No,None,No,None,19.4
2025-02-25 00:00:00,Tuesday,No,Yes,None,No,None,15
2025-02-26 00:00:00,Wednesday,No,Yes,None,No,None,2
2025-02-27 00:00:00,Thursday,No,Yes,None,No,None,4
2025-02-28 00:00:00,Friday,No,Yes,None,No,None,3.2
2025-03-01 00:00:00,Saturday,Yes,Yes,None,No,None,11.4
