Transaction_ID,ATM_ID,Transaction_Date,Transaction_Time,Withdrawal_Amount,Transaction_Count_10_Min,Previous_ATM,Distance_From_Previous_ATM_km,Night_Transaction,Large_Withdrawal,Fraud_Flag,Fraud_Reason
TXN000001,ATM1047,2025-01-16 00:00:00,11:30,1000,6,None,0,NO,NO,Review,Multiple withdrawals in 10 minutes
TXN000002,ATM1050,2025-01-26 00:00:00,14:37,2000,4,ATM1035,4.4,NO,NO,Normal,None
TXN000003,ATM1033,2025-02-27 00:00:00,15:45,500,1,ATM1019,24.3,NO,NO,Normal,None
TXN000004,ATM1048,2025-10-09 00:00:00,17:54,2000,2,None,0,NO,NO,Normal,None
TXN000005,ATM1026,2025-05-01 00:00:00,00:06,3000,3,None,0,NO,NO,Normal,None
TXN000006,ATM1021,2025-03-21 00:00:00,13:52,5000,3,None,0,NO,NO,Normal,None
TXN000007,ATM1012,2025-06-10 00:00:00,05:56,500,3,ATM1049,28.6,NO,NO,Normal,None
TXN000008,ATM1047,2025-09-22 00:00:00,23:33,1000,2,None,0,NO,NO,Normal,None
TXN000009,ATM1030,2025-05-05 00:00:00,13:35,5000,2,None,0,NO,NO,Normal,None
TXN000010,ATM1036,2025-09-29 00:00:00,20:22,5000,3,None,0,NO,NO,Normal,None
TXN000011,ATM1015,2025-10-04 00:00:00,23:57,5000,5,None,0,NO,NO,Normal,None
TXN000012,ATM1050,2025-05-11 00:00:00,13:21,20000,5,None,0,NO,YES,Review,Large withdrawal
TXN000013,ATM1017,2025-08-11 00:00:00,14:52,3000,5,ATM1023,8.3,NO,NO,Normal,None
TXN000014,ATM1010,2025-10-05 00:00:00,02:07,5000,3,None,0,YES,NO,Review,Night-time transaction
TXN000015,ATM1014,2025-02-23 00:00:00,22:40,10000,1,None,0,NO,NO,Normal,None
TXN000016,ATM1039,2025-04-22 00:00:00,17:22,2000,2,None,0,NO,NO,Normal,None
TXN000017,ATM1028,2025-02-23 00:00:00,14:43,5000,4,None,0,NO,NO,Normal,None
TXN000018,ATM1005,2025-07-02 00:00:00,08:34,2000,1,None,0,NO,NO,Normal,None
TXN000019,ATM1012,2025-03-19 00:00:00,13:55,500,1,None,0,NO,NO,Normal,None
TXN000020,ATM1046,2025-12-04 00:00:00,18:52,5000,2,None,0,NO,NO,Normal,None
TXN000021,ATM1030,2025-06-27 00:00:00,03:20,5000,3,None,0,YES,NO,Review,Night-time transaction
TXN000022,ATM1032,2025-07-04 00:00:00,09:46,3000,1,None,0,NO,NO,Normal,None
TXN000023,ATM1040,2025-12-18 00:00:00,17:11,10000,2,None,0,NO,NO,Normal,None
TXN000024,ATM1035,2025-05-26 00:00:00,12:28,2000,2,None,0,NO,NO,Normal,None
TXN000025,ATM1034,2025-02-17 00:00:00,08:16,3000,1,None,0,NO,NO,Normal,None
TXN000026,ATM1027,2025-03-03 00:00:00,16:29,2000,1,None,0,NO,NO,Normal,None
TXN000027,ATM1041,2025-08-03 00:00:00,21:57,5000,2,None,0,NO,NO,Normal,None
TXN000028,ATM1003,2025-07-15 00:00:00,14:40,1000,4,None,0,NO,NO,Normal,None
TXN000029,ATM1049,2025-04-08 00:00:00,11:32,20000,3,None,0,NO,YES,Review,Large withdrawal
TXN000030,ATM1001,2025-05-23 00:00:00,17:23,2000,2,None,0,NO,NO,Normal,None
TXN000031,ATM1019,2025-05-11 00:00:00,08:30,2000,3,None,0,NO,NO,Normal,None
TXN000032,ATM1012,2025-01-26 00:00:00,04:30,5000,4,None,0,YES,NO,Review,Night-time transaction
TXN000033,ATM1044,2025-08-24 00:00:00,08:54,5000,2,None,0,NO,NO,Normal,None
TXN000034,ATM1029,2025-12-05 00:00:00,02:50,500,5,None,0,YES,NO,Review,Night-time transaction
TXN000035,ATM1018,2025-09-29 00:00:00,19:13,2000,3,None,0,NO,NO,Normal,None
TXN000036,ATM1006,2025-01-22 00:00:00,14:40,3000,7,None,0,NO,NO,Review,Multiple withdrawals in 10 minutes
TXN000037,ATM1005,2025-07-13 00:00:00,12:30,5000,2,None,0,NO,NO,Normal,None
TXN000038,ATM1044,2025-12-02 00:00:00,05:30,5000,3,None,0,NO,NO,Normal,None
TXN000039,ATM1015,2025-03-31 00:00:00,20:44,3000,3,ATM1017,34.6,NO,NO,Normal,None
TXN000040,ATM1031,2025-06-28 00:00:00,01:48,500,3,None,0,YES,NO,Review,Night-time transaction
TXN000041,ATM1042,2025-03-02 00:00:00,11:27,2000,5,None,0,NO,NO,Normal,None
TXN000042,ATM1012,2025-11-29 00:00:00,22:45,5000,2,ATM1044,11.6,NO,NO,Normal,None
TXN000043,ATM1046,2025-04-20 00:00:00,15:44,5000,3,None,0,NO,NO,Normal,None
TXN000044,ATM1009,2025-08-23 00:00:00,21:44,10000,4,None,0,NO,NO,Normal,None
TXN000045,ATM1028,2025-05-24 00:00:00,12:00,2000,1,None,0,NO,NO,Normal,None
TXN000046,ATM1037,2025-08-19 00:00:00,08:06,10000,3,None,0,NO,NO,Normal,None
TXN000047,ATM1042,2025-07-11 00:00:00,08:36,500,4,None,0,NO,NO,Normal,None
TXN000048,ATM1002,2025-03-14 00:00:00,19:00,10000,1,None,0,NO,NO,Normal,None
TXN000049,ATM1031,2025-03-24 00:00:00,13:30,5000,1,None,0,NO,NO,Normal,None
TXN000050,ATM1031,2025-02-11 00:00:00,20:14,3000,2,None,0,NO,NO,Normal,None
