Transaction_ID,ATM_ID,Transaction_Date,Transaction_Time,Transaction_Type,Withdrawal_Amount,Card_Type,Response_Time_sec,Transaction_Status,Failure_Reason
TXN000001,ATM1047,2025-01-16 00:00:00,11:30,Cash Withdrawal,1000,Debit,3.5,Success,None
TXN000002,ATM1050,2025-01-26 00:00:00,14:37,Cash Withdrawal,2000,Debit,2.9,Success,None
TXN000003,ATM1033,2025-02-27 00:00:00,15:45,Cash Withdrawal,500,Debit,4.3,Success,None
TXN000004,ATM1048,2025-10-09 00:00:00,17:54,Cash Withdrawal,2000,Debit,6.6,Success,None
TXN000005,ATM1026,2025-05-01 00:00:00,00:06,Cash Withdrawal,3000,Debit,3.3,Success,None
TXN000006,ATM1021,2025-03-21 00:00:00,13:52,Cash Withdrawal,5000,Debit,3.5,Success,None
TXN000007,ATM1012,2025-06-10 00:00:00,05:56,Cash Withdrawal,500,Debit,8.3,Success,None
TXN000008,ATM1047,2025-09-22 00:00:00,23:33,Cash Withdrawal,1000,Debit,8.1,Success,None
TXN000009,ATM1030,2025-05-05 00:00:00,13:35,Cash Withdrawal,5000,Debit,4.4,Success,None
TXN000010,ATM1036,2025-09-29 00:00:00,20:22,Cash Withdrawal,5000,Debit,3.7,Success,None
TXN000011,ATM1015,2025-10-04 00:00:00,23:57,Cash Withdrawal,5000,Debit,2.2,Success,None
TXN000012,ATM1050,2025-05-11 00:00:00,13:21,Cash Withdrawal,20000,Debit,2.6,Success,None
TXN000013,ATM1017,2025-08-11 00:00:00,14:52,Cash Withdrawal,3000,Debit,5.6,Success,None
TXN000014,ATM1010,2025-10-05 00:00:00,02:07,Cash Withdrawal,5000,Debit,4.9,Success,None
TXN000015,ATM1014,2025-02-23 00:00:00,22:40,Cash Withdrawal,10000,Debit,4.9,Success,None
TXN000016,ATM1039,2025-04-22 00:00:00,17:22,Cash Withdrawal,2000,Debit,3.1,Success,None
TXN000017,ATM1028,2025-02-23 00:00:00,14:43,Cash Withdrawal,5000,Debit,4.8,Success,None
TXN000018,ATM1005,2025-07-02 00:00:00,08:34,Cash Withdrawal,2000,Debit,4.7,Success,None
TXN000019,ATM1012,2025-03-19 00:00:00,13:55,Cash Withdrawal,500,Credit,2.5,Success,None
TXN000020,ATM1046,2025-12-04 00:00:00,18:52,Cash Withdrawal,5000,Credit,2.5,Success,None
TXN000021,ATM1030,2025-06-27 00:00:00,03:20,Cash Withdrawal,5000,Credit,11.4,Success,None
TXN000022,ATM1032,2025-07-04 00:00:00,09:46,Cash Withdrawal,3000,Debit,6.2,Success,None
TXN000023,ATM1040,2025-12-18 00:00:00,17:11,Cash Withdrawal,10000,Debit,8,Success,None
TXN000024,ATM1035,2025-05-26 00:00:00,12:28,Cash Withdrawal,2000,Credit,3.8,Failed,Bank Declined
TXN000025,ATM1034,2025-02-17 00:00:00,08:16,Cash Withdrawal,3000,Debit,3.4,Success,None
TXN000026,ATM1027,2025-03-03 00:00:00,16:29,Cash Withdrawal,2000,Debit,4.7,Success,None
TXN000027,ATM1041,2025-08-03 00:00:00,21:57,Cash Withdrawal,5000,Debit,5.7,Success,None
TXN000028,ATM1003,2025-07-15 00:00:00,14:40,Cash Withdrawal,1000,Debit,4.2,Success,None
TXN000029,ATM1049,2025-04-08 00:00:00,11:32,Cash Withdrawal,20000,Debit,4.4,Success,None
TXN000030,ATM1001,2025-05-23 00:00:00,17:23,Cash Withdrawal,2000,Debit,3,Success,None
TXN000031,ATM1019,2025-05-11 00:00:00,08:30,Cash Withdrawal,2000,Debit,3.3,Success,None
TXN000032,ATM1012,2025-01-26 00:00:00,04:30,Cash Withdrawal,5000,Debit,3.8,Success,None
TXN000033,ATM1044,2025-08-24 00:00:00,08:54,Cash Withdrawal,5000,Debit,5.9,Success,None
TXN000034,ATM1029,2025-12-05 00:00:00,02:50,Cash Withdrawal,500,Credit,5.3,Success,None
TXN000035,ATM1018,2025-09-29 00:00:00,19:13,Cash Withdrawal,2000,Credit,5.6,Success,None
TXN000036,ATM1006,2025-01-22 00:00:00,14:40,Cash Withdrawal,3000,Debit,4.6,Success,None
TXN000037,ATM1005,2025-07-13 00:00:00,12:30,Cash Withdrawal,5000,Debit,3.7,Success,None
TXN000038,ATM1044,2025-12-02 00:00:00,05:30,Cash Withdrawal,5000,Debit,5.2,Success,None
TXN000039,ATM1015,2025-03-31 00:00:00,20:44,Cash Withdrawal,3000,Debit,6.9,Success,None
TXN000040,ATM1031,2025-06-28 00:00:00,01:48,Cash Withdrawal,500,Debit,3.5,Success,None
TXN000041,ATM1042,2025-03-02 00:00:00,11:27,Cash Withdrawal,2000,Debit,3,Success,None
TXN000042,ATM1012,2025-11-29 00:00:00,22:45,Cash Withdrawal,5000,Credit,2.6,Success,None
TXN000043,ATM1046,2025-04-20 00:00:00,15:44,Cash Withdrawal,5000,Debit,1.8,Success,None
TXN000044,ATM1009,2025-08-23 00:00:00,21:44,Cash Withdrawal,10000,Debit,14.4,Success,None
TXN000045,ATM1028,2025-05-24 00:00:00,12:00,Cash Withdrawal,2000,Debit,7.6,Success,None
TXN000046,ATM1037,2025-08-19 00:00:00,08:06,Cash Withdrawal,10000,Debit,4.9,Success,None
TXN000047,ATM1042,2025-07-11 00:00:00,08:36,Cash Withdrawal,500,Debit,3.9,Success,None
TXN000048,ATM1002,2025-03-14 00:00:00,19:00,Cash Withdrawal,10000,Credit,2.2,Success,None
TXN000049,ATM1031,2025-03-24 00:00:00,13:30,Cash Withdrawal,5000,Debit,5.3,Success,None
TXN000050,ATM1031,2025-02-11 00:00:00,20:14,Cash Withdrawal,3000,Debit,2.5,Success,None
TXN000051,ATM1009,2025-03-01 00:00:00,21:26,Cash Withdrawal,5000,Debit,3.5,Success,None
TXN000052,ATM1015,2025-08-05 00:00:00,21:49,Cash Withdrawal,3000,Debit,3.6,Success,None
TXN000053,ATM1003,2025-12-17 00:00:00,01:01,Cash Withdrawal,10000,Debit,3.1,Success,None
TXN000054,ATM1023,2025-01-10 00:00:00,10:20,Cash Withdrawal,5000,Debit,8.7,Success,None
TXN000055,ATM1018,2025-10-12 00:00:00,03:15,Cash Withdrawal,2000,Debit,1.6,Success,None
TXN000056,ATM1033,2025-08-31 00:00:00,03:31,Cash Withdrawal,3000,Debit,1.2,Success,None
TXN000057,ATM1044,2025-11-21 00:00:00,10:49,Cash Withdrawal,2000,Debit,5.4,Success,None
TXN000058,ATM1038,2025-03-27 00:00:00,20:54,Cash Withdrawal,3000,Debit,5.6,Success,None
TXN000059,ATM1035,2025-02-04 00:00:00,01:38,Cash Withdrawal,2000,Debit,5.5,Success,None
TXN000060,ATM1006,2025-06-13 00:00:00,01:27,Cash Withdrawal,10000,Debit,2.9,Success,None
TXN000061,ATM1047,2025-08-19 00:00:00,04:45,Cash Withdrawal,3000,Debit,5.6,Success,None
TXN000062,ATM1045,2025-07-25 00:00:00,17:11,Cash Withdrawal,5000,Debit,8.9,Success,None
TXN000063,ATM1006,2025-11-06 00:00:00,02:54,Cash Withdrawal,1000,Debit,4.8,Success,None
TXN000064,ATM1008,2025-02-22 00:00:00,17:09,Cash Withdrawal,2000,Debit,3.8,Success,None
TXN000065,ATM1006,2025-10-01 00:00:00,12:47,Cash Withdrawal,2000,Debit,2.6,Success,None
TXN000066,ATM1026,2025-09-15 00:00:00,18:27,Cash Withdrawal,3000,Debit,5.5,Success,None
TXN000067,ATM1041,2025-08-14 00:00:00,13:00,Cash Withdrawal,1000,Debit,3.9,Success,None
TXN000068,ATM1014,2025-02-19 00:00:00,13:10,Cash Withdrawal,10000,Debit,2.7,Success,None
TXN000069,ATM1029,2025-06-30 00:00:00,20:41,Cash Withdrawal,10000,Debit,5.8,Failed,Technical Error
TXN000070,ATM1042,2025-06-30 00:00:00,17:43,Cash Withdrawal,2000,Debit,9.4,Success,None
TXN000071,ATM1022,2025-10-26 00:00:00,07:22,Cash Withdrawal,3000,Debit,4.7,Success,None
TXN000072,ATM1027,2025-09-22 00:00:00,21:18,Cash Withdrawal,5000,Debit,7,Success,None
TXN000073,ATM1028,2025-10-11 00:00:00,07:33,Cash Withdrawal,5000,Debit,2.4,Success,None
TXN000074,ATM1048,2025-03-21 00:00:00,21:20,Cash Withdrawal,1000,Debit,4.2,Success,None
TXN000075,ATM1031,2025-04-17 00:00:00,06:37,Cash Withdrawal,1000,Debit,7.3,Success,None
TXN000076,ATM1010,2025-01-28 00:00:00,12:47,Cash Withdrawal,3000,Debit,7.5,Success,None
TXN000077,ATM1038,2025-06-05 00:00:00,11:21,Cash Withdrawal,3000,Debit,1.5,Success,None
TXN000078,ATM1007,2025-05-20 00:00:00,06:54,Cash Withdrawal,2000,Debit,4.9,Success,None
TXN000079,ATM1050,2025-05-24 00:00:00,16:24,Cash Withdrawal,1000,Debit,3.4,Success,None
TXN000080,ATM1022,2025-07-18 00:00:00,01:28,Cash Withdrawal,5000,Debit,4.1,Success,None
TXN000081,ATM1029,2025-09-26 00:00:00,15:54,Cash Withdrawal,3000,Debit,10.3,Success,None
TXN000082,ATM1049,2025-10-05 00:00:00,08:25,Cash Withdrawal,20000,Debit,2.4,Success,None
TXN000083,ATM1033,2025-10-01 00:00:00,06:53,Cash Withdrawal,5000,Debit,2.9,Success,None
TXN000084,ATM1049,2025-03-22 00:00:00,17:37,Cash Withdrawal,5000,Debit,2.5,Success,None
TXN000085,ATM1011,2025-01-30 00:00:00,00:07,Cash Withdrawal,2000,Debit,10.4,Success,None
TXN000086,ATM1004,2025-07-24 00:00:00,23:26,Cash Withdrawal,2000,Credit,4.8,Success,None
TXN000087,ATM1041,2025-04-28 00:00:00,11:52,Cash Withdrawal,3000,Debit,3.3,Success,None
TXN000088,ATM1004,2025-07-20 00:00:00,13:57,Cash Withdrawal,2000,Debit,3.2,Success,None
TXN000089,ATM1001,2025-12-28 00:00:00,21:51,Cash Withdrawal,3000,Debit,6.1,Success,None
TXN000090,ATM1015,2025-02-17 00:00:00,07:46,Cash Withdrawal,3000,Debit,2.8,Success,None
TXN000091,ATM1036,2025-11-27 00:00:00,09:10,Cash Withdrawal,10000,Credit,2,Success,None
TXN000092,ATM1034,2025-03-26 00:00:00,02:30,Cash Withdrawal,500,Debit,6.9,Success,None
TXN000093,ATM1029,2025-10-20 00:00:00,18:02,Cash Withdrawal,10000,Debit,5,Success,None
TXN000094,ATM1026,2025-03-03 00:00:00,00:43,Cash Withdrawal,2000,Debit,3.8,Success,None
TXN000095,ATM1010,2025-11-01 00:00:00,01:04,Cash Withdrawal,1000,Debit,3.7,Success,None
TXN000096,ATM1013,2025-07-24 00:00:00,09:47,Cash Withdrawal,3000,Debit,10.4,Success,None
TXN000097,ATM1030,2025-12-10 00:00:00,16:08,Cash Withdrawal,2000,Debit,4.9,Success,None
TXN000098,ATM1006,2025-01-07 00:00:00,20:47,Cash Withdrawal,3000,Debit,6.3,Success,None
TXN000099,ATM1003,2025-02-10 00:00:00,16:01,Cash Withdrawal,500,Debit,2.5,Success,None
TXN000100,ATM1032,2025-02-20 00:00:00,13:33,Cash Withdrawal,20000,Debit,3.5,Success,None
TXN000101,ATM1022,2025-06-03 00:00:00,23:01,Cash Withdrawal,3000,Debit,4.4,Success,None
