ATM_ID,Date,Opening_Cash,Cash_Loaded,Total_Withdrawal,Closing_Cash,Number_of_Transactions,Failed_Transactions,Downtime_Minutes,Customer_Complaints,Maintenance_Status,Refill_Date,Refill_Amount,Refill_Cost,Health_Score,Need_Refill,Days_Since_Last_Refill
ATM1002,12/21/2025,974487.47,0,579063.98,319375.37,539,5,13,2,Normal,2/4/2025,0,2500,86,NO,7
ATM1007,12/19/2025,300593.14,0,884275.1,424251.23,461,8,16,1,Normal,8/6/2025,0,0,91.7,NO,4
ATM1027,5/11/2025,438028.71,300000,276429.78,166822.49,286,4,13,1,Normal,11/19/2025,500000,0,63,NO,8
ATM1014,9/26/2025,796806.89,0,727111.98,981608.59,363,3,13,2,Normal,11/24/2025,500000,0,83.3,NO,12
ATM1014,9/6/2025,1112933.08,0,874549.65,406735.9,43,5,15,2,Normal,2/23/2025,0,0,88.4,NO,8
ATM1030,6/11/2025,452710,500000,406428.38,341537.01,173,6,7,1,Normal,12/12/2025,0,3500,63.1,NO,13
ATM1029,11/29/2025,745171.07,300000,548163.01,192398.35,325,7,15,2,Normal,9/16/2025,700000,0,74,YES,12
ATM1006,2/4/2025,874635.66,0,358677.8,324411.82,311,1,13,3,Normal,11/19/2025,0,0,75.3,NO,0
ATM1013,8/3/2025,959370.34,500000,401980.15,857273.31,466,7,4,2,Normal,9/24/2025,0,3500,53.4,NO,2
ATM1029,10/1/2025,494166.44,0,113450.2,406501.5,314,3,11,3,Normal,9/11/2025,300000,3500,89.2,NO,11
ATM1003,12/20/2025,327483.37,500000,839691.86,983585.56,362,7,9,1,Normal,2/2/2025,0,0,88,NO,2
ATM1014,5/2/2025,1117868.37,0,299151.04,599850.71,457,10,16,0,Normal,2/21/2025,300000,3500,81.5,NO,14
ATM1028,4/7/2025,930800.95,500000,551313.47,753454.02,466,5,11,1,Required,5/4/2025,0,0,78.3,NO,5
ATM1033,1/16/2025,369608.35,0,716701.25,227900.1,128,6,10,1,Normal,6/20/2025,700000,3500,71.9,YES,5
ATM1008,10/12/2025,942026.34,0,371498.8,474128.62,229,7,5,2,Normal,2/24/2025,0,0,100,NO,10
ATM1033,11/7/2025,744415.3,0,719841.44,525283.71,243,4,12,4,Normal,8/20/2025,500000,0,79.3,NO,0
ATM1008,1/12/2025,1149389.06,0,176521.14,147948.48,189,8,13,2,Normal,5/1/2025,0,3500,76.1,YES,5
ATM1048,12/30/2025,496539.21,700000,725164.73,158432.94,526,4,19,2,Normal,2/4/2025,300000,3500,89.7,NO,13
ATM1021,2/2/2025,1162096.74,300000,485288.44,474389.63,107,6,12,3,Normal,10/2/2025,300000,0,80.2,NO,14
ATM1034,6/25/2025,904465.82,0,213643.16,87984.95,242,4,8,2,Normal,2/27/2025,0,0,99.7,NO,5
ATM1049,3/3/2025,1041208.42,500000,641563.32,347864.69,484,7,11,3,Normal,6/26/2025,300000,0,100,NO,14
ATM1039,4/26/2025,1070786.87,0,666170.3,427982.09,141,5,14,4,Normal,5/4/2025,500000,0,66.8,NO,6
ATM1026,3/6/2025,290713.74,0,491701.18,729870.52,24,7,11,3,Normal,2/16/2025,300000,3500,91.1,YES,6
ATM1005,1/25/2025,458159.73,300000,533710.43,230150.28,566,6,6,4,Normal,11/30/2025,500000,3500,92.8,NO,14
ATM1049,6/22/2025,641369.37,500000,560242.36,440552.65,47,7,10,0,Normal,9/25/2025,300000,0,78.3,YES,7
ATM1018,8/17/2025,1067848.82,0,284251.73,450213.54,50,4,15,2,Normal,1/24/2025,300000,0,86.3,YES,10
ATM1010,11/30/2025,527398.45,0,651407.54,375415.63,449,8,13,1,Normal,8/23/2025,0,0,71.2,YES,13
ATM1048,5/4/2025,1085746.15,500000,851605.36,219368.01,446,4,9,1,Normal,4/24/2025,0,0,82.1,YES,3
ATM1016,4/21/2025,755319.69,0,765167.09,823184.24,140,9,13,0,Normal,1/15/2025,500000,0,90.6,NO,14
ATM1030,5/4/2025,892245.21,0,571447.4,125632.11,29,6,12,2,Normal,11/19/2025,0,0,96.6,NO,13
ATM1021,1/16/2025,1170830.45,0,287898.09,348921.33,507,4,17,4,Normal,1/21/2025,500000,0,100,NO,6
ATM1042,9/17/2025,540470.16,300000,548665.69,664312.13,137,6,12,2,Normal,2/7/2025,700000,0,80.5,NO,2
ATM1032,3/20/2025,950633.4,0,271653.85,404395.78,215,7,16,3,Normal,4/24/2025,500000,0,100,NO,9
ATM1030,4/3/2025,779845.25,700000,412702.48,808090.97,585,6,12,6,Required,3/6/2025,300000,2500,70.7,NO,3
